name,year,duration,genre,rate,is_mature,movie_url
Alice in Borderland,2020– ,"50,m","Action,Drama,Mystery",7.7,TV-MA,https://www.imdb.com/title/tt10795658/?ref_=adv_li_tt
The Last of Us,2023– ,"50,m","Action,Adventure,Drama",9.2,TV-MA,https://www.imdb.com/title/tt3581920/?ref_=adv_li_tt
The Handmaid's Tale,2017– ,"1,h","Drama,Sci-Fi,Thriller",8.4,TV-MA,https://www.imdb.com/title/tt5834204/?ref_=adv_li_tt
Rick and Morty,2013– ,"23,m","Animation,Adventure,Comedy",9.1,TV-14,https://www.imdb.com/title/tt2861424/?ref_=adv_li_tt
La Brea,2021– ,,"Drama,Mystery,Sci-Fi",5.7,TV-14,https://www.imdb.com/title/tt11640018/?ref_=adv_li_tt
Star Trek: The Next Generation,1987–1994,"44,m","Action,Adventure,Sci-Fi",8.7,TV-PG,https://www.imdb.com/title/tt0092455/?ref_=adv_li_tt
Black Adam,2022,,"Action,Adventure,Fantasy",6.4,PG-13,https://www.imdb.com/title/tt6443346/?ref_=adv_li_tt
The Last of Us,2013,,"Action,Adventure,Drama",9.7,M,https://www.imdb.com/title/tt2140553/?ref_=adv_li_tt
Interstellar,2014,,"Adventure,Drama,Sci-Fi",8.6,PG-13,https://www.imdb.com/title/tt0816692/?ref_=adv_li_tt
Avatar,2009,,"Action,Adventure,Fantasy",7.9,PG-13,https://www.imdb.com/title/tt0499549/?ref_=adv_li_tt
The X-Files,1993–2018,"45,m","Crime,Drama,Mystery",8.6,TV-14,https://www.imdb.com/title/tt0106179/?ref_=adv_li_tt
The Ark,2023– ,"50,m","Drama,Mystery,Sci-Fi",3.7,TV-14,https://www.imdb.com/title/tt17371078/?ref_=adv_li_tt
Black Panther,2018,,"Action,Adventure,Sci-Fi",7.3,PG-13,https://www.imdb.com/title/tt1825683/?ref_=adv_li_tt
The VelociPastor,2018,,"Action,Adventure,Comedy",5,Not Rated,https://www.imdb.com/title/tt1843303/?ref_=adv_li_tt
Lost,2004–2010,"44,m","Adventure,Drama,Fantasy",8.3,TV-14,https://www.imdb.com/title/tt0411008/?ref_=adv_li_tt
American Horror Story,2011– ,"1,h","Drama,Horror,Sci-Fi",8,TV-MA,https://www.imdb.com/title/tt1844624/?ref_=adv_li_tt
Loki,2021– ,"53,m","Action,Adventure,Fantasy",8.2,TV-14,https://www.imdb.com/title/tt9140554/?ref_=adv_li_tt
Fringe,2008–2013,"46,m","Drama,Mystery,Sci-Fi",8.4,TV-14,https://www.imdb.com/title/tt1119644/?ref_=adv_li_tt
Dune,2021,,"Action,Adventure,Drama",8,PG-13,https://www.imdb.com/title/tt1160419/?ref_=adv_li_tt
